"geonameid","name","asciiname","latitude","longitude","country_code","admin1_code","admin1_name","population","timezone","hl","gl"
"3652462","Quito","Quito","-0.22985","-78.52495","EC","18","Pichincha","2781641","America/Guayaquil","es","EC"
"5110302","Brooklyn","Brooklyn","40.6501","-73.94958","US","NY","New York","2736074","America/New_York","en","US"
"3657509","Guayaquil","Guayaquil","-2.19616","-79.88621","EC","10","Guayas","2723665","America/Guayaquil","es","EC"
"3470127","Belo Horizonte","Belo Horizonte","-19.92083","-43.93778","BR","15","Minas Gerais","2721564","America/Sao_Paulo","pt","BR"
"3450554","Salvador","Salvador","-12.97563","-38.49096","BR","05","Bahia","2711840","America/Bahia","pt","BR"
"4887398","Chicago","Chicago","41.85003","-87.65005","US","IL","Illinois","2664452","America/Chicago","en","US"
"6167865","Toronto","Toronto","43.70643","-79.39864","CA","08","Ontario","2600000","America/Toronto","en","CA"
"3399415","Fortaleza","Fortaleza","-3.71722","-38.54306","BR","06","Ceará","2400000","America/Fortaleza","pt","BR"
"3687925","Cali","Cali","3.43054","-76.5199","CO","29","Valle del Cauca Department","2392877","America/Bogota","es","CO"
"4699066","Houston","Houston","29.76328","-95.36327","US","TX","Texas","2314157","America/Chicago","en","US"
"5133273","Queens","Queens","40.68149","-73.83652","US","NY","New York","2272771","America/New_York","en","US"
"3633009","Maracaibo","Maracaibo","10.64232","-71.61089","VE","23","Zulia","2225000","America/Caracas","es","VE"
"3663517","Manaus","Manaus","-3.10194","-60.025","BR","04","Amazonas","2219580","America/Manaus","pt","BR"
"3469058","Brasília","Brasilia","-15.77972","-47.92972","BR","07","Federal District","2207718","America/Sao_Paulo","pt","BR"
"3492908","Santo Domingo","Santo Domingo","18.47186","-69.89232","DO","34","Nacional","2201941","America/Santo_Domingo","es","DO"
"3553478","Havana","Havana","23.13302","-82.38304","CU","02","Havana","2163824","America/Havana","es","CU"
"3911925","La Paz","La Paz","-16.5","-68.15","BO","04","La Paz Department","2004652","America/La_Paz","es","BO"
"3674962","Medellín","Medellin","6.245","-75.57151","CO","02","Antioquia","1999979","America/Bogota","es","CO"
"3464975","Curitiba","Curitiba","-25.42778","-49.27306","BR","18","Paraná","1948626","America/Sao_Paulo","pt","BR"
"3981609","Tijuana","Tijuana","32.5027","-117.00371","MX","02","Baja California","1922523","America/Tijuana","es","MX"
"3904906","Santa Cruz de la Sierra","Santa Cruz de la Sierra","-17.78629","-63.18117","BO","08","Santa Cruz Department","1831434","America/La_Paz","es","BO"
"3526683","Iztapalapa","Iztapalapa","19.35529","-99.06224","MX","09","Mexico City","1815786","America/Mexico_City","es","MX"
"6077243","Montréal","Montreal","45.50884","-73.58781","CA","10","Quebec","1762949","America/Toronto","fr","CA"
"3632998","Maracay","Maracay","10.24972","-67.59475","VE","04","Aragua","1754256","America/Caracas","es","VE"
"3998655","León de los Aldama","Leon de los Aldama","21.12908","-101.67374","MX","11","Guanajuato","1721199","America/Mexico_City","es","MX"
"3521081","Puebla","Puebla","19.04778","-98.20723","MX","21","Puebla","1692181","America/Mexico_City","es","MX"
"3390760","Recife","Recife","-8.05389","-34.88111","BR","30","Pernambuco","1653461","America/Recife","pt","BR"
"5308655","Phoenix","Phoenix","33.44838","-112.07404","US","AZ","Arizona","1650070","America/Phoenix","en","US"
"3529612","Ecatepec de Morelos","Ecatepec de Morelos","19.60492","-99.06064","MX","15","México","1645352","America/Mexico_City","es","MX"
"3625549","Valencia","Valencia","10.16153","-68.00044","VE","07","Carabobo","1619470","America/Caracas","es","VE"
"3991164","Santiago de Querétaro","Santiago de Queretaro","20.58806","-100.38806","MX","22","Querétaro","1594212","America/Mexico_City","es","MX"
"4560349","Philadelphia","Philadelphia","39.95238","-75.16362","US","PA","Pennsylvania","1573916","America/New_York","en","US"
"3462377","Goiânia","Goiania","-16.67861","-49.25389","BR","29","Goiás","1536097","America/Sao_Paulo","pt","BR"
"4013708","Ciudad Juárez","Ciudad Juarez","31.72024","-106.46084","MX","06","Chihuahua","1501551","America/Ciudad_Juarez","es","MX"
"3405870","Belém","Belem","-1.45583","-48.50444","BR","16","Pará","1499641","America/Belem","pt","BR"
